index,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type,CEC_hybrid
ABB__UNO_2_0_TL_OUTD_S_US_B_M_A__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_M__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_M__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_B_M__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M_A__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_C_M__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_Z_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_Z_A__240V_,240,14.459577,2000.0,2061.733398,400.0,-5.249517e-06,-5e-05,0.000371,-0.00069,0.15,480.0,5.154333,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_Z_A__277V_,277,15.902328,2000.0,2058.968994,400.0,-4.741659e-06,-5.6e-05,-0.000147,-0.001199,0.15,480.0,5.147422,180.0,480.0,,Utility Interactive,
ABB__UNO_2_0_TL_OUTD_S_US_Z_M_A__208V_,208,14.462379,2000.0,2067.474121,400.0,-6.348957e-06,-4.1e-05,0.000715,-0.000575,0.11,480.0,5.168685,180.0,480.0,,Utility Interactive,
